scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp0,2017,electicity cost by technology,Russia,,,Power,Coal_Power,,1000 USD/toe,0.7540340017657446
tfp0,2017,electicity generation by technology,Russia,,,Power,Oil_Power,,million toe,2.398692762061702
tfp0,2017,electicity cost by technology,Russia,,,Power,Oil_Power,,1000 USD/toe,0.656950731845048
tfp0,2017,electicity generation by technology,Russia,,,Power,Gas_Power,,million toe,180.7568286600155
tfp0,2017,electicity cost by technology,Russia,,,Power,Gas_Power,,1000 USD/toe,0.5095060428125486
tfp0,2017,electicity generation by technology,Russia,,,Power,Nuclear,,million toe,28.830866221012805
tfp0,2017,electicity cost by technology,Russia,,,Power,Nuclear,,1000 USD/toe,0.8002526660379622
tfp0,2017,electicity generation by technology,Russia,,,Power,Hydro,,million toe,11.021145059914275
tfp0,2017,electicity cost by technology,Russia,,,Power,Hydro,,1000 USD/toe,1.2357154533856056
tfp0,2017,electicity generation by technology,Russia,,,Power,Wind,,million toe,0.2782096894685716
tfp0,2017,electicity cost by technology,Russia,,,Power,Wind,,1000 USD/toe,0.21386324055240427
tfp0,2017,electicity generation by technology,Russia,,,Power,Solar,,million toe,0.007196274179082292
tfp0,2017,electicity cost by technology,Russia,,,Power,Solar,,1000 USD/toe,2.611567649247197
tfp0,2017,electicity generation by technology,Russia,,,Power,Biomass,,million toe,0.008854776149777957
tfp0,2017,electicity cost by technology,Russia,,,Power,Biomass,,1000 USD/toe,2.310314636919304
tfp0,2017,electicity cost of TnD,North Africa,,,Power,TnD,,1000 USD/toe,0.3065270445799789
tfp0,2017,electicity generation by technology,North Africa,,,Power,Coal_Power,,million toe,1.3306782866254983
tfp0,2017,electicity cost by technology,North Africa,,,Power,Coal_Power,,1000 USD/toe,1.0271474395552156
tfp0,2017,electicity generation by technology,North Africa,,,Power,Oil_Power,,million toe,4.55558351248557
tfp0,2017,electicity cost by technology,North Africa,,,Power,Oil_Power,,1000 USD/toe,0.8393425086349634
tfp0,2017,electicity generation by technology,North Africa,,,Power,Gas_Power,,million toe,27.599609315158244
tfp0,2017,electicity cost by technology,North Africa,,,Power,Gas_Power,,1000 USD/toe,0.8933828428160275
tfp0,2017,electicity generation by technology,North Africa,,,Power,Nuclear,,million toe,0.0001625643311863724
tfp0,2017,electicity cost by technology,North Africa,,,Power,Nuclear,,1000 USD/toe,0.00015320122554111218
tfp0,2017,electicity generation by technology,North Africa,,,Power,Hydro,,million toe,0.19097674739912437
tfp0,2017,electicity cost by technology,North Africa,,,Power,Hydro,,1000 USD/toe,2.4593713701731583
tfp0,2017,electicity generation by technology,North Africa,,,Power,Wind,,million toe,0.11375745606469344
tfp0,2017,electicity cost by technology,North Africa,,,Power,Wind,,1000 USD/toe,1.9861967071586233
tfp0,2017,electicity generation by technology,North Africa,,,Power,Solar,,million toe,0.007125087963184279
tfp0,2017,electicity cost by technology,North Africa,,,Power,Solar,,1000 USD/toe,4.394402883091326
