scenario,year,variable,region,import_region,commodity,sector,subsector,technology,unit,value
tfp1,2017,electicity generation by technology,Eastern Europe,,,Power,Hydro,,million toe,4.821567677253599
tfp1,2017,electicity cost by technology,Eastern Europe,,,Power,Hydro,,1000 USD/toe,0.8966297457496933
tfp1,2017,electicity generation by technology,Eastern Europe,,,Power,Wind,,million toe,1.8223855875493877
tfp1,2017,electicity cost by technology,Eastern Europe,,,Power,Wind,,1000 USD/toe,0.7943909533417522
tfp1,2017,electicity generation by technology,Eastern Europe,,,Power,Solar,,million toe,0.13859413565554804
tfp1,2017,electicity cost by technology,Eastern Europe,,,Power,Solar,,1000 USD/toe,1.6144632603407671
tfp1,2017,electicity generation by technology,Eastern Europe,,,Power,Biomass,,million toe,0.004604860540296852
tfp1,2017,electicity cost by technology,Eastern Europe,,,Power,Biomass,,1000 USD/toe,5.283217918638246
tfp1,2017,electicity cost of TnD,Russia,,,Power,TnD,,1000 USD/toe,0.17862274132537723
tfp1,2017,electicity generation by technology,Russia,,,Power,Coal_Power,,million toe,27.816873411493276
tfp1,2017,electicity cost by technology,Russia,,,Power,Coal_Power,,1000 USD/toe,0.754085396334426
tfp1,2017,electicity generation by technology,Russia,,,Power,Oil_Power,,million toe,2.398628211449454
tfp1,2017,electicity cost by technology,Russia,,,Power,Oil_Power,,1000 USD/toe,0.6570039448929543
tfp1,2017,electicity generation by technology,Russia,,,Power,Gas_Power,,million toe,180.76624130858542
tfp1,2017,electicity cost by technology,Russia,,,Power,Gas_Power,,1000 USD/toe,0.5095271903661905
tfp1,2017,electicity generation by technology,Russia,,,Power,Nuclear,,million toe,28.835186469716767
tfp1,2017,electicity cost by technology,Russia,,,Power,Nuclear,,1000 USD/toe,0.8002467624509085
tfp1,2017,electicity generation by technology,Russia,,,Power,Hydro,,million toe,11.02264915419855
tfp1,2017,electicity cost by technology,Russia,,,Power,Hydro,,1000 USD/toe,1.235714599664857
tfp1,2017,electicity generation by technology,Russia,,,Power,Wind,,million toe,0.2637476367695739
tfp1,2017,electicity cost by technology,Russia,,,Power,Wind,,1000 USD/toe,0.21966320364503686
