technology,removed_country,definition,year,Q_global_gw,national_stock_gw,national_2009_stock_gw,removed_experience_gw,Q_counterfactual_gw,Q_ratio
wind,USA,remove_all_historical_stock,2018,539.4404499999999,94.4874,34.296,94.4874,444.95304999999996,0.8248418337927754
wind,USA,remove_all_historical_stock,2019,594.24654,103.64089999999999,34.296,103.64089999999999,490.60564,0.8255927581841705
wind,USA,remove_all_historical_stock,2020,698.33524,118.44839999999999,34.296,118.44839999999999,579.88684,0.8303846158472541
wind,USA,remove_all_historical_stock,2021,769.27527,132.8111,34.296,132.8111,636.46417,0.8273555576536341
wind,USA,remove_all_historical_stock,2022,839.7858299999999,141.4599,34.296,141.4599,698.32593,0.8315524090231435
wind,USA,remove_all_historical_stock,2023,943.12808,147.479,34.296,147.479,795.6490799999999,0.8436278135203015
wind,USA,remove_all_historical_stock,2024,1049.19276,152.4814,34.296,152.4814,896.7113599999999,0.8546678877196979
wind,DEU,no_additions_since_2010,2010,177.71164000000002,26.823,25.697,1.1260000000000012,176.58564,0.9936638928097226
wind,DEU,no_additions_since_2010,2011,216.24613,28.524,25.697,2.8270000000000017,213.41913,0.9869269336750673
wind,DEU,no_additions_since_2010,2012,261.36127,30.711,25.697,5.013999999999999,256.34727,0.9808158263081596
wind,DEU,no_additions_since_2010,2013,292.27612,32.969,25.697,7.272000000000002,285.00412,0.9751194178983901
wind,DEU,no_additions_since_2010,2014,340.63979000000006,37.62,25.697,11.922999999999998,328.71679000000006,0.9649982170315453
wind,DEU,no_additions_since_2010,2015,404.24651,41.297,25.697,15.599999999999998,388.64651,0.9614096853922127
wind,DEU,no_additions_since_2010,2016,452.48745,45.283,25.697,19.586000000000002,432.90145,0.9567148215933945
wind,DEU,no_additions_since_2010,2017,495.6822,50.174,25.697,24.477,471.20520000000005,0.9506195703618165
wind,DEU,no_additions_since_2010,2018,539.4404499999999,52.328,25.697,26.631000000000004,512.80945,0.9506321782135545
wind,DEU,no_additions_since_2010,2019,594.24654,53.187,25.697,27.49,566.75654,0.9537397390652035
wind,DEU,no_additions_since_2010,2020,698.33524,54.414,25.697,28.717000000000002,669.61824,0.9588779165719892
wind,DEU,no_additions_since_2010,2021,769.27527,55.904,25.697,30.207000000000004,739.06827,0.9607331716252883
wind,DEU,no_additions_since_2010,2022,839.7858299999999,57.986,25.697,32.289,807.4968299999999,0.961550911141237
wind,DEU,no_additions_since_2010,2023,943.12808,60.965,25.697,35.268,907.8600799999999,0.962605291107439
wind,DEU,no_additions_since_2010,2024,1049.19276,63.53,25.697,37.833,1011.3597599999999,0.9639408491534006
wind,DEU,remove_all_historical_stock,2010,177.71164000000002,26.823,25.697,26.823,150.88864,0.8490644732106462
wind,DEU,remove_all_historical_stock,2011,216.24613,28.524,25.697,28.524,187.72213,0.8680947492563219
wind,DEU,remove_all_historical_stock,2012,261.36127,30.711,25.697,30.711,230.65026999999998,0.8824959796070779
wind,DEU,remove_all_historical_stock,2013,292.27612,32.969,25.697,32.969,259.30712,0.8871991321083639
wind,DEU,remove_all_historical_stock,2014,340.63979000000006,37.62,25.697,37.62,303.01979000000006,0.8895607585948782
wind,DEU,remove_all_historical_stock,2015,404.24651,41.297,25.697,41.297,362.94951000000003,0.897842037028347
wind,DEU,remove_all_historical_stock,2016,452.48745,45.283,25.697,45.283,407.20445,0.8999242962429124
wind,DEU,remove_all_historical_stock,2017,495.6822,50.174,25.697,50.174,445.50820000000004,0.8987778863150624
wind,DEU,remove_all_historical_stock,2018,539.4404499999999,52.328,25.697,52.328,487.11244999999997,0.9029957801644278
wind,DEU,remove_all_historical_stock,2019,594.24654,53.187,25.697,53.187,541.05954,0.910496744331065
wind,DEU,remove_all_historical_stock,2020,698.33524,54.414,25.697,54.414,643.92124,0.9220804036754611
wind,DEU,remove_all_historical_stock,2021,769.27527,55.904,25.697,55.904,713.37127,0.9273290040897844
wind,DEU,remove_all_historical_stock,2022,839.7858299999999,57.986,25.697,57.986,781.7998299999999,0.9309514427029568
wind,DEU,remove_all_historical_stock,2023,943.12808,60.965,25.697,60.965,882.1630799999999,0.9353587266747481
wind,DEU,remove_all_historical_stock,2024,1049.19276,63.53,25.697,63.53,985.6627599999999,0.9394486862452235
wind,DNK,no_additions_since_2010,2010,177.71164000000002,2.93398,2.82124,0.11274000000000006,177.59890000000001,0.9993656014878936
wind,DNK,no_additions_since_2010,2011,216.24613,3.08053,2.82124,0.25929,215.98684,0.9988009496401161
wind,DNK,no_additions_since_2010,2012,261.36127,3.2400900000000004,2.82124,0.4188500000000004,260.94241999999997,0.9983974289687221
wind,DNK,no_additions_since_2010,2013,292.27612,3.54787,2.82124,0.7266300000000001,291.54949,0.9975138920004822
wind,DNK,no_additions_since_2010,2014,340.63979000000006,3.61535,2.82124,0.7941099999999999,339.8456800000001,0.9976687691123812
wind,DNK,no_additions_since_2010,2015,404.24651,3.80592,2.82124,0.98468,403.26183,0.9975641595520515
