group,year,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
CHINA,2040,S1_NO_CN,real_household_consumption,17564.773218252143,17559.60684639471,-5.166371857434569,-0.029413256825120974
CHINA,2040,S2_CAPACITY,real_household_consumption,17564.773218252143,17249.170482373,-315.60273587914344,-1.7967936844820183
CHINA,2045,S1_NO_CN,real_household_consumption,18915.649768662737,18910.61154408048,-5.038224582258408,-0.026635218159965918
CHINA,2045,S2_CAPACITY,real_household_consumption,18915.649768662737,18602.747065656953,-312.90270300578413,-1.654200129694541
CHINA,2050,S1_NO_CN,real_household_consumption,19954.80045314965,19949.728180305505,-5.072272844146937,-0.025418810155760457
CHINA,2050,S2_CAPACITY,real_household_consumption,19954.80045314965,19644.802662169823,-309.997790979829,-1.5534998293150015
GLOBAL,2025,S1_NO_CN,real_investment,31127.729577130245,31127.500816194246,-0.22876093599916203,-0.0007349104451460997
GLOBAL,2025,S2_CAPACITY,real_investment,31127.729577130245,30798.421654681224,-329.30792244902113,-1.057924644433322
GLOBAL,2030,S1_NO_CN,real_investment,34575.04253914244,34577.9132819004,2.870742757957487,0.00830293340841885
GLOBAL,2030,S2_CAPACITY,real_investment,34575.04253914244,34168.91700239317,-406.1255367492704,-1.1746204976884562
GLOBAL,2035,S1_NO_CN,real_investment,38619.47250876233,38625.23183933458,5.759330572247563,0.014913022364406545
GLOBAL,2035,S2_CAPACITY,real_investment,38619.47250876233,38124.736119944566,-494.73638881776424,-1.2810542368374245
GLOBAL,2040,S1_NO_CN,real_investment,42320.4772737525,42328.33903857913,7.861764826629951,0.018576739519679003
GLOBAL,2040,S2_CAPACITY,real_investment,42320.4772737525,41744.22866923748,-576.2486045150217,-1.3616306848042468
GLOBAL,2045,S1_NO_CN,real_investment,46258.98457844117,46269.11137765506,10.126799213896447,0.021891529410301855
GLOBAL,2045,S2_CAPACITY,real_investment,46258.98457844117,45614.95739973329,-644.0271787078746,-1.39222074279603
GLOBAL,2050,S1_NO_CN,real_investment,50135.10096434158,50148.91290795401,13.811943612425239,0.027549448084783826
GLOBAL,2050,S2_CAPACITY,real_investment,50135.10096434158,49468.883831996245,-666.2171323453367,-1.3288437033749696
ROW_EX_CHINA,2025,S1_NO_CN,real_investment,22964.704211499862,22966.140266321498,1.43605482163548,0.006253312946727865
ROW_EX_CHINA,2025,S2_CAPACITY,real_investment,22964.704211499862,22757.986099695678,-206.71811180418445,-0.9001557777550985
ROW_EX_CHINA,2030,S1_NO_CN,real_investment,26008.82219966554,26014.91864773077,6.096448065229197,0.023439923647552152
ROW_EX_CHINA,2030,S2_CAPACITY,real_investment,26008.82219966554,25729.21800016499,-279.60419950055075,-1.0750359910728533
ROW_EX_CHINA,2035,S1_NO_CN,real_investment,29458.53291511594,29468.131073813714,9.598158697775943,0.032581930422104895
ROW_EX_CHINA,2035,S2_CAPACITY,real_investment,29458.53291511594,29099.923000472336,-358.6099146436027,-1.2173379973705025
ROW_EX_CHINA,2040,S1_NO_CN,real_investment,33030.24269089328,33042.511452112914,12.268761219631415,0.03714402384035167
ROW_EX_CHINA,2040,S2_CAPACITY,real_investment,33030.24269089328,32599.935145203144,-430.3075456901388,-1.3027683438995084
ROW_EX_CHINA,2045,S1_NO_CN,real_investment,36734.35087948515,36749.50492540854,15.154045923387457,0.041253065756091695
ROW_EX_CHINA,2045,S2_CAPACITY,real_investment,36734.35087948515,36252.52542310344,-481.82545638170996,-1.3116482116764245
ROW_EX_CHINA,2050,S1_NO_CN,real_investment,40476.4240998448,40495.19608162731,18.77198178251274,0.046377569659333415
ROW_EX_CHINA,2050,S2_CAPACITY,real_investment,40476.4240998448,39974.548011545405,-501.87608829939563,-1.2399220026487467
CHINA,2025,S1_NO_CN,real_investment,8163.025365630385,8161.3605498727475,-1.6648157576373706,-0.020394592483405888
CHINA,2025,S2_CAPACITY,real_investment,8163.025365630385,8040.4355549855445,-122.58981064484033,-1.5017693214698642
CHINA,2030,S1_NO_CN,real_investment,8566.220339476904,8562.994634169632,-3.22570530727171,-0.03765610945595508
CHINA,2030,S2_CAPACITY,real_investment,8566.220339476904,8439.699002228186,-126.52133724871783,-1.4769797207486242
CHINA,2035,S1_NO_CN,real_investment,9160.939593646388,9157.100765520861,-3.838828125526561,-0.04190430562590979
CHINA,2035,S2_CAPACITY,real_investment,9160.939593646388,9024.81311947223,-136.12647417415792,-1.4859444577996024
CHINA,2040,S1_NO_CN,real_investment,9290.234582859215,9285.827586466214,-4.406996393001464,-0.04743686882925987
CHINA,2040,S2_CAPACITY,real_investment,9290.234582859215,9144.293524034332,-145.94105882488293,-1.5709082211352223
CHINA,2045,S1_NO_CN,real_investment,9524.633698956011,9519.606452246524,-5.027246709487372,-0.05278152282159056
