group,year,fuel,scenario,outcome,baseline,counterfactual,deviation,deviation_pct_baseline
GLOBAL,2045,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,9045.437541117368,8134.985066602376,-910.452474514992,-10.065322659919945
GLOBAL,2050,Coal,S1_NO_CN,modeled_final_demand_Mtoe,393.2647946548367,391.6243422647476,-1.6404523900890808,-0.4171368534345629
GLOBAL,2050,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,393.2647946548367,228.85648041111185,-164.40831424372485,-41.80600869397014
GLOBAL,2050,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,2478.031642043082,2427.322689066182,-50.70895297689958,-2.0463400110214565
GLOBAL,2050,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,2478.031642043082,2245.427324128298,-232.60431791478368,-9.386656488494497
GLOBAL,2050,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1807.6062157301142,1802.138163869252,-5.468051860862261,-0.3025023820607769
GLOBAL,2050,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1807.6062157301142,1518.2894557336704,-289.3167599964438,-16.005519204280077
GLOBAL,2050,Oil,S1_NO_CN,modeled_final_demand_Mtoe,5.728892815022088,5.694984757523206,-0.03390805749888237,-0.5918780223984978
GLOBAL,2050,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,5.728892815022088,6.104883898155387,0.37599108313329843,6.56306716277513
GLOBAL,2050,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,10116.912525411697,10123.250355434233,6.337830022535854,0.06264589128962487
GLOBAL,2050,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,10116.912525411697,8977.903390365469,-1139.009135046228,-11.258465783758245
ROW_EX_CHINA,2025,Coal,S1_NO_CN,modeled_final_demand_Mtoe,231.10032456827946,229.78262548957179,-1.317699078707676,-0.5701848671866997
ROW_EX_CHINA,2025,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,231.10032456827946,113.55560380581397,-117.54472076246549,-50.8630703925024
ROW_EX_CHINA,2025,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,1469.9367531999765,1442.8830287842445,-27.05372441573195,-1.8404686022604297
ROW_EX_CHINA,2025,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,1469.9367531999765,1315.9605310056838,-153.97622219429263,-10.475023626635252
ROW_EX_CHINA,2025,Gas,S1_NO_CN,modeled_final_demand_Mtoe,1425.8036084396492,1424.9670398563062,-0.8365685833430234,-0.058673479179824455
ROW_EX_CHINA,2025,Gas,S2_CAPACITY,modeled_final_demand_Mtoe,1425.8036084396492,1106.9144784283155,-318.8891300113337,-22.365571816746563
ROW_EX_CHINA,2025,Oil,S1_NO_CN,modeled_final_demand_Mtoe,6.385533556659423,6.3682615931278,-0.017271963531623413,-0.2704858314245427
ROW_EX_CHINA,2025,Oil,S2_CAPACITY,modeled_final_demand_Mtoe,6.385533556659423,6.471670209010805,0.08613665235138157,1.3489342994924884
ROW_EX_CHINA,2025,Oil_pct,S1_NO_CN,modeled_final_demand_Mtoe,4182.407452550826,4185.196359523898,2.7889069730717893,0.06668185739222636
ROW_EX_CHINA,2025,Oil_pct,S2_CAPACITY,modeled_final_demand_Mtoe,4182.407452550826,3901.5811800303754,-280.8262725204504,-6.714464712164189
ROW_EX_CHINA,2030,Coal,S1_NO_CN,modeled_final_demand_Mtoe,224.8739630963144,222.91525968992397,-1.9587034063904412,-0.8710227628938619
ROW_EX_CHINA,2030,Coal,S2_CAPACITY,modeled_final_demand_Mtoe,224.8739630963144,121.87297968100525,-103.00098341530916,-45.80387253245207
ROW_EX_CHINA,2030,Electricity,S1_NO_CN,modeled_final_demand_Mtoe,1466.943939462016,1423.8031195668157,-43.140819895200366,-2.940863569130102
ROW_EX_CHINA,2030,Electricity,S2_CAPACITY,modeled_final_demand_Mtoe,1466.943939462016,1311.2186770314117,-155.7252624306043,-10.6156246494133
