scenario,year,region,sector,CO2_Mt,CO2_Mt_S0,CO2_Mt_gap,CO2_Mt_pct
S1_NO_CN,2050,Japan,Forestry,2.2129219739151518,2.227514813183672,-0.014592839268520397,-0.6551174960611644
S2_CAPACITY,2050,Japan,Forestry,1.969245934668492,2.227514813183672,-0.2582688785151801,-11.594485342436386
S1_NO_CN,2050,Japan,Coal,0.0021909950609391,0.002140615363737,5.037969720210001e-05,2.3535146974816237
S2_CAPACITY,2050,Japan,Coal,0.0010883025713281,0.002140615363737,-0.0010523127924089,-49.15935904392532
S1_NO_CN,2050,Japan,Oil,0.0041355514747437,0.0040646763962046,7.087507853910033e-05,1.7436831774672168
S2_CAPACITY,2050,Japan,Oil,0.0029199468627866,0.0040646763962046,-0.001144729533418,-28.162870099250547
S1_NO_CN,2050,Japan,Gas,0.2838623100707086,0.2791203946030914,0.004741915467617208,1.6988781756203095
S2_CAPACITY,2050,Japan,Gas,0.1895513155823966,0.2791203946030914,-0.0895690790206948,-32.08976511661279
S1_NO_CN,2050,Japan,Mine,4.624391617288628,4.610006768212772,0.014384849075856465,0.3120353135931132
S2_CAPACITY,2050,Japan,Mine,3.999863323916304,4.610006768212772,-0.6101434442964679,-13.235196280048221
S1_NO_CN,2050,Japan,Manufac,497.277213584217,498.5719116382073,-1.2946980539903166,-0.2596813065012424
S2_CAPACITY,2050,Japan,Manufac,454.4912262668353,498.5719116382073,-44.080685371372,-8.841389645584266
S1_NO_CN,2050,Japan,Petro,122.42069060326445,121.9647187485922,0.4559718546722422,0.37385553736416527
S2_CAPACITY,2050,Japan,Petro,92.5141614708064,121.9647187485922,-29.450557277785805,-24.146784069983962
S1_NO_CN,2050,Japan,WatWaste,11.938463325978692,11.882737344912956,0.05572598106573601,0.4689658573459297
S2_CAPACITY,2050,Japan,WatWaste,10.459734867312646,11.882737344912956,-1.4230024776003098,-11.975376012241004
S1_NO_CN,2050,Japan,OthServ,215.1790375846637,214.66995497371136,0.5090826109523334,0.2371466519451574
S2_CAPACITY,2050,Japan,OthServ,193.19297823895087,214.66995497371136,-21.476976734760484,-10.00464957352349
S1_NO_CN,2050,Japan,Transport,297.4344230434321,299.37919269201416,-1.944769648582053,-0.6496008059527141
S2_CAPACITY,2050,Japan,Transport,272.4109175348252,299.37919269201416,-26.96827515718894,-9.008065962998474
S1_NO_CN,2050,Japan,Power,740.0694965286552,721.2193521096402,18.85014441901501,2.6136492821326014
S2_CAPACITY,2050,Japan,Power,661.4591517209258,721.2193521096402,-59.76020038871445,-8.285995129485887
