technology,country,year,tic,unit,source_sheet,source_cell,source_status,imputed
wind,Pakistan,2015,3166.699429283991,2024 USD/kW,Fig 2.7,H27,IRENA_reported_cell,False
wind,Pakistan,2016,3263.7983952221907,2024 USD/kW,Fig 2.7,I27,IRENA_reported_cell,False
wind,Pakistan,2017,3162.649974918301,2024 USD/kW,Fig 2.7,J27,IRENA_reported_cell,False
wind,Pakistan,2018,2531.621455317668,2024 USD/kW,Fig 2.7,K27,IRENA_reported_cell,False
wind,Pakistan,2019,,2024 USD/kW,Fig 2.7,L27,source_blank,False
wind,Pakistan,2020,,2024 USD/kW,Fig 2.7,M27,source_blank,False
wind,Pakistan,2021,2124.5679794539774,2024 USD/kW,Fig 2.7,N27,IRENA_reported_cell,False
wind,Pakistan,2022,1321.4261956321814,2024 USD/kW,Fig 2.7,O27,IRENA_reported_cell,False
wind,Pakistan,2023,,2024 USD/kW,Fig 2.7,P27,source_blank,False
wind,Pakistan,2024,,2024 USD/kW,Fig 2.7,Q27,source_blank,False
wind,Panama,2010,,2024 USD/kW,Fig 2.7,C28,source_blank,False
wind,Panama,2011,,2024 USD/kW,Fig 2.7,D28,source_blank,False
wind,Panama,2012,,2024 USD/kW,Fig 2.7,E28,source_blank,False
wind,Panama,2013,2253.829657825554,2024 USD/kW,Fig 2.7,F28,IRENA_reported_cell,False
wind,Panama,2014,2061.5612188681102,2024 USD/kW,Fig 2.7,G28,IRENA_reported_cell,False
wind,Panama,2015,2489.7916665030607,2024 USD/kW,Fig 2.7,H28,IRENA_reported_cell,False
wind,Panama,2016,2490.5292358474976,2024 USD/kW,Fig 2.7,I28,IRENA_reported_cell,False
wind,Panama,2017,,2024 USD/kW,Fig 2.7,J28,source_blank,False
wind,Panama,2018,,2024 USD/kW,Fig 2.7,K28,source_blank,False
wind,Panama,2019,,2024 USD/kW,Fig 2.7,L28,source_blank,False
wind,Panama,2020,,2024 USD/kW,Fig 2.7,M28,source_blank,False
wind,Panama,2021,,2024 USD/kW,Fig 2.7,N28,source_blank,False
wind,Panama,2022,,2024 USD/kW,Fig 2.7,O28,source_blank,False
wind,Panama,2023,,2024 USD/kW,Fig 2.7,P28,source_blank,False
wind,Panama,2024,,2024 USD/kW,Fig 2.7,Q28,source_blank,False
wind,Peru,2010,,2024 USD/kW,Fig 2.7,C29,source_blank,False
wind,Peru,2011,,2024 USD/kW,Fig 2.7,D29,source_blank,False
wind,Peru,2012,,2024 USD/kW,Fig 2.7,E29,source_blank,False
wind,Peru,2013,2116.6136192751574,2024 USD/kW,Fig 2.7,F29,IRENA_reported_cell,False
wind,Peru,2014,3380.6094476317653,2024 USD/kW,Fig 2.7,G29,IRENA_reported_cell,False
wind,Peru,2015,2992.7798819582235,2024 USD/kW,Fig 2.7,H29,IRENA_reported_cell,False
wind,Peru,2016,,2024 USD/kW,Fig 2.7,I29,source_blank,False
wind,Peru,2017,,2024 USD/kW,Fig 2.7,J29,source_blank,False
wind,Peru,2018,1488.6826241894983,2024 USD/kW,Fig 2.7,K29,IRENA_reported_cell,False
wind,Peru,2019,,2024 USD/kW,Fig 2.7,L29,source_blank,False
wind,Peru,2020,,2024 USD/kW,Fig 2.7,M29,source_blank,False
wind,Peru,2021,,2024 USD/kW,Fig 2.7,N29,source_blank,False
wind,Peru,2022,,2024 USD/kW,Fig 2.7,O29,source_blank,False
wind,Peru,2023,1301.5318479864275,2024 USD/kW,Fig 2.7,P29,IRENA_reported_cell,False
wind,Peru,2024,1064.9717514124293,2024 USD/kW,Fig 2.7,Q29,IRENA_reported_cell,False
wind,Philippines,2010,,2024 USD/kW,Fig 2.7,C30,source_blank,False
wind,Philippines,2011,,2024 USD/kW,Fig 2.7,D30,source_blank,False
wind,Philippines,2012,,2024 USD/kW,Fig 2.7,E30,source_blank,False
wind,Philippines,2013,3771.9913182610826,2024 USD/kW,Fig 2.7,F30,IRENA_reported_cell,False
wind,Philippines,2014,3390.6375924533586,2024 USD/kW,Fig 2.7,G30,IRENA_reported_cell,False
wind,Philippines,2015,3362.819424030517,2024 USD/kW,Fig 2.7,H30,IRENA_reported_cell,False
