technology,iso3,year,weight,observed,procurement_model,other_cost_fitted,other_cost_observed,model_factual,Q,Q_ratio,beta_B,G_level_gap,G_anchor,B_fit_outside_year_range,P_direct,S_share,T_cn_tariff,K_spillover,G_other,china_contribution_since_2010,model_without_china_contribution
wind,FRA,2022,0.045298839205294386,2035.8130904453128,631.8088401589971,1194.9379468297584,1404.0042502863157,1826.7467869887555,839.7858299999999,0.622067819362944,0.2520769073090383,0.0,excluded_for_wind,False,169.72658892934004,253.15233413846582,-5.865060216702484,58.73204279100591,0.0,475.7459056421093,2302.492692630865
wind,FRA,2023,0.045298839205294386,1787.5143272747575,775.6782641617551,1230.4120246025077,1011.8360631130024,2006.0902887642628,943.12808,0.5902443176116652,0.2520769073090383,0.0,excluded_for_wind,False,2.2237914838386974,-1.9573811732503863,-0.09735891997438181,68.18165128152805,0.0,68.35070267214198,2074.4409914364046
wind,FRA,2024,0.045298839205294386,1860.4830152221043,685.4288185538267,1263.9149417494928,1175.0541966682777,1949.3437603033194,1049.19276,0.5598405673329274,0.2520769073090383,0.0,excluded_for_wind,False,64.72033005430357,86.18964609122976,-1.3841516684459285,75.01851907990276,0.0,224.54434355699016,2173.8881038603095
wind,GBR,2010,0.03235119188706516,2646.677480945218,1954.516173855146,1190.018202602728,692.1613070900721,3144.534376457874,177.71164000000002,0.9331638040141884,-0.1000586056861678,0.0,excluded_for_wind,False,0.0,0.0,0.0,0.0,0.0,0.0,3144.534376457874
wind,GBR,2011,0.03235119188706516,2809.9113674102177,1723.3254157009228,1166.8777597037365,1086.585951709295,2890.2031754046593,216.24613,0.8685660178057291,-0.1000586056861678,0.0,excluded_for_wind,False,0.7803267037880549,0.9903377432014003,0.07389121626006886,37.83593682078476,0.0,39.68049248403428,2929.8836678886937
wind,GBR,2012,0.03235119188706516,2747.880979690672,1517.4181726821043,1144.9624683001957,1230.4628070085678,2662.3806409823,261.36127,0.8334319771249964,-0.1000586056861678,0.0,excluded_for_wind,False,4.671210152417148,18.653722784748528,0.21943484396095683,46.953239814623984,0.0,70.49760759575062,2732.8782485780507
wind,GBR,2013,0.03235119188706516,2761.2528998111115,1463.0944076748358,1132.226186602355,1298.1584921362758,2595.320594277191,292.27612,0.7998293873615128,-0.1000586056861678,0.0,excluded_for_wind,False,3.197089605328246,7.138021462229607,0.11729425417598838,64.24804677374568,0.0,74.70045209547952,2670.0210463726708
wind,GBR,2014,0.03235119188706516,2697.606225405735,1340.7205583042546,1115.0108501497825,1356.8856671014805,2455.731408454037,340.63979000000006,0.7694570854450093,-0.1000586056861678,0.0,excluded_for_wind,False,9.620830136259418,26.057109883555608,0.0,71.60671792206006,0.0,107.28465794187508,2563.0160663959123
wind,GBR,2015,0.03235119188706516,2657.2208697143733,1180.3641632569227,1096.0734192406476,1476.8567064574506,2276.4375824975705,404.24651,0.7214741816818653,-0.1000586056861678,0.0,excluded_for_wind,False,24.354282878220072,60.56589774704455,0.0,79.62108361977727,0.0,164.54126424504187,2440.9788467426124
wind,GBR,2016,0.03235119188706516,2491.129940503493,1179.809185578973,1083.7790474103365,1311.3207549245199,2263.5882329893093,452.48745,0.7146964186520532,-0.1000586056861678,0.0,excluded_for_wind,False,18.89029932338842,42.26796615652158,0.0,90.91892697334305,0.0,152.07719245325305,2415.6654254425625
