model_id,technology,iso3,country,fit_end,spec,G_transform,material_included,n,df_resid,first_year,last_year,observed_years,term,coefficient,SE_HAC,p_HAC_raw,CI95_low,CI95_high,stars,p_BH_within_spec_window,p_BH_all_four_specs_window
pv_USA_2022_C,pv,USA,United States,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.36356664073203326,0.38739981012548497,0.37249927226997637,-1.2399258960957171,0.5127926146316506,,0.6704986900859574,0.5321442765760753
pv_USA_2022_C,pv,USA,United States,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,-1.127184734051582,1.7805320517192649,0.5424432043149703,-5.155028068539623,2.9006586004364587,,0.8831476719481323,0.7372926256515595
pv_USA_2022_C,pv,USA,United States,2022,C,ln(G),True,13,9,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logM,-0.013305104863387207,0.14271985663979217,0.9277668795459949,-0.33615985084260325,0.30954964111582883,,0.9589938889321663,0.9589954078973659
pv_USA_2022_D,pv,USA,United States,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",const,23.358101667094957,8.002972486145257,0.015335139074310524,5.526367739508274,41.18983559468164,**,,
pv_USA_2022_D,pv,USA,United States,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logQ,-0.33425853380508297,0.18176951500460084,0.09576871831351086,-0.739266252289658,0.07074918467949204,*,0.1436530774702663,0.22100473456964043
pv_USA_2022_D,pv,USA,United States,2022,D,ln(G),False,13,10,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",logG,-1.262204122619199,0.8330472887364019,0.16068121077770534,-3.11834915217683,0.5939409069384323,,0.21424161437027378,0.32136242155541067
pv_CHN_2024_A,pv,CHN,China,2024,A,ln(1+G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",const,-2.42123151099986,5.984492058793845,0.6935389275263364,-15.593009723039367,10.750546701039648,,,
pv_CHN_2024_A,pv,CHN,China,2024,A,ln(1+G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logQ,-0.8797033064128392,0.14941317133916834,0.00010497064451182419,-1.2085594792512797,-0.5508471335743987,***,0.0006298238670709452,0.0004498807549127812
pv_CHN_2024_A,pv,CHN,China,2024,A,ln(1+G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logG,1.376979540642452,0.6313629260969271,0.051778084905630996,-0.012640890323432075,2.7665999716083363,*,0.0776671273584465,0.07060647941676955
pv_CHN_2024_A,pv,CHN,China,2024,A,ln(1+G),True,15,11,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",logM,-0.05849749950500116,0.0293740370144905,0.07184586508476792,-0.123149319065622,0.00615432005561968,*,0.09947889011737097,0.0937119979366538
