variable,value
"pfene[1,6]",0.8612672552687797
"pfene[2,6]",0.8387488140948731
"pfene[3,6]",0.7975771715882112
"pfene[4,6]",0.785813501163071
"pfene[5,6]",0.6593386693919532
"pfene[6,6]",1.0194898296781747
"pfene[7,6]",1.2443908523120841
"pfene[8,6]",1.3668425224978995
"pfene[9,6]",0.7572846405978126
"pfene[10,6]",0.9237086779923251
"pfene[11,6]",1.3104949906665253
"pfene[13,6]",0.9399373113783365
"pfene[14,6]",0.8294852522937817
"pfene[15,6]",0.7571865319803981
"pfene[1,7]",0.928532168329581
"pfene[2,7]",1.145233426788007
"pfene[3,7]",0.9982563709361574
"pfene[4,7]",0.8754049883975444
"pfene[5,7]",1.086500724082857
"pfene[6,7]",1.88910242440882
"pfene[7,7]",1.3532787068164212
"pfene[8,7]",1.6157581098602918
"pfene[9,7]",0.8143133127479973
"pfene[10,7]",0.9054288262298998
"pfene[11,7]",1.5275842830229962
"pfene[13,7]",1.3890257138772537
"pfene[14,7]",0.9780928453432016
"pfene[15,7]",0.9772348853967844
"pfene[1,8]",0.6404314426416842
"pfene[2,8]",0.6419254377432024
"pfene[3,8]",0.7587892502407226
"pfene[4,8]",0.6631386029549599
"pfene[5,8]",0.641104027394559
"pfene[6,8]",0.8899160130417292
"pfene[7,8]",0.7252924668641841
"pfene[8,8]",0.9246204043513068
"pfene[9,8]",0.6454143902850311
"pfene[10,8]",0.7125760053620825
"pfene[11,8]",1.0155876785921207
"pfene[13,8]",0.7828438569416339
"pfene[14,8]",0.6804617197324251
"pfene[15,8]",0.6448284156003682
"pfene[1,9]",1.6175488158423421
"pfene[2,9]",1.6310850853003678
"pfene[3,9]",1.6318699730347175
"pfene[4,9]",1.6128761438305685
"pfene[5,9]",1.5913965347235008
"pfene[6,9]",2.220368389493066
"pfene[7,9]",1.389412995116074
"pfene[8,9]",1.9000119563344902
"pfene[9,9]",1.6537167741859644
"pfene[10,9]",1.646368810062134
"pfene[11,9]",1.7622598468424135
"pfene[13,9]",1.6162428143767873
"pfene[14,9]",1.7345233815334151
"pfene[15,9]",1.604965039260501
"pfene[1,10]",1.816113567776023
"pfene[2,10]",1.7638476448569775
"pfene[3,10]",1.7634830923736018
"pfene[4,10]",1.763665696204481
"pfene[5,10]",1.7606331308384442
"pfene[6,10]",1.3854823351140881
"pfene[7,10]",1.385700635067063
"pfene[8,10]",2.0536724201783096
"pfene[9,10]",1.7929211000461767
"pfene[10,10]",1.724882425412741
"pfene[11,10]",1.8916063304503152
"pfene[13,10]",2.0114980332925008
"pfene[14,10]",1.7577510069524276
"pfene[15,10]",1.7586684938284778
"pfene[1,11]",1.4110170834018392
"pfene[2,11]",1.7150430413016309
"pfene[3,11]",1.7516907242921285
"pfene[4,11]",1.517557747588275
"pfene[5,11]",1.5163042103665019
"pfene[6,11]",1.7552007342264855
"pfene[7,11]",1.388739203107859
"pfene[8,11]",1.9959747344221566
"pfene[9,11]",1.5745839045507806
"pfene[10,11]",1.5854512254035131
"pfene[11,11]",1.779920072328452
"pfene[13,11]",1.535257139197419
"pfene[14,11]",1.4239430564708566
"pfene[15,11]",1.4324010566836753
"pfene[1,12]",1.6016671080814304
"pfene[2,12]",1.6016886100256795
"pfene[3,12]",1.6018159013973692
"pfene[4,12]",1.6018373810784363
"pfene[5,12]",1.6020577217948162
"pfene[6,12]",1.4955629500865306
"pfene[7,12]",1.4165085016050298
"pfene[8,12]",2.7031806591218435
"pfene[9,12]",1.7926039082569052
"pfene[10,12]",1.8029661948768898
"pfene[11,12]",2.2831502341029624
"pfene[13,12]",1.9064239290789502
"pfene[14,12]",1.683291936326839
"pfene[15,12]",1.6305123807976019
"pfene[1,13]",4.02405477389554
"pfene[2,13]",3.905222358655672
"pfene[3,13]",4.035986226045144
"pfene[4,13]",3.901020214549265
"pfene[5,13]",4.006703492035993
"pfene[6,13]",5.076065162862474
"pfene[7,13]",2.9617605041157633
"pfene[8,13]",4.046219661430258
"pfene[9,13]",3.743792596832581
"pfene[10,13]",2.8942076236538443
"pfene[11,13]",1.6220502126523186
"pfene[13,13]",3.8410586811590446
"pfene[14,13]",3.2459002928554033
"pfene[15,13]",4.031276221418114
"pfene[1,14]",1.6441434084531952
"pfene[2,14]",1.2905615525744343
"pfene[3,14]",1.1878035318912064
"pfene[4,14]",1.2453972990511886
"pfene[5,14]",1.597780175262377
"pfene[6,14]",1.1179581522405637
"pfene[7,14]",1.2037152619855869
"pfene[8,14]",1.6074358992609175
"pfene[9,14]",1.367041324169747
"pfene[10,14]",1.3730174848550036
"pfene[11,14]",1.484048626025285
"pfene[13,14]",1.3780098401246161
"pfene[14,14]",1.428311054615367
"pfene[15,14]",1.3714279463328416
"pfene[1,15]",1.296545382448053
"pfene[2,15]",1.322249859279936
"pfene[3,15]",1.4926525924038598
"pfene[4,15]",1.2999021438153775
"pfene[5,15]",1.2717156345680753
"pfene[6,15]",1.2927319323176232
"pfene[7,15]",1.5038171787905474
"pfene[8,15]",1.9821649008437936
"pfene[9,15]",1.326759079943698
"pfene[10,15]",1.3516833233455499
"pfene[11,15]",1.924540309152735
"pfene[13,15]",1.4388987474438275
"pfene[14,15]",1.3387776864300953
"pfene[15,15]",1.310878637501513
"pfene[1,16]",0.353497741065016
